City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
155,midelt,32.6852,-4.7451,308.36,11,57,7.37,MA,1722876433
156,crane,31.3974,-102.3501,303.48,36,60,3.57,US,1722875898
157,ibshaway,29.358,30.6814,308.18,18,0,3.37,EG,1722876435
158,chipinge,-20.1883,32.6236,292.77,18,0,2.82,ZW,1722876436
159,isafjordur,66.0755,-23.124,285.17,76,75,7.72,IS,1722876437
160,warman,52.3168,-106.5679,293.76,63,100,7.72,CA,1722876439
161,panjakent,39.4952,67.6093,299.08,25,0,0.75,TJ,1722876440
162,fale old settlement,-9.3852,-171.2468,300.88,79,100,4.97,TK,1722876441
163,aasiaat,68.7098,-52.8699,275.83,90,84,1.93,GL,1722876442
164,altai,46.3722,96.2583,290.46,32,1,1.58,MN,1722876443
165,kapa'a,22.0752,-159.319,298.14,81,0,8.75,US,1722876444
166,xuddur,4.1213,43.8894,301.04,40,49,5.83,SO,1722876445
167,miri,4.4148,114.0089,299.23,94,20,0.0,MY,1722876447
168,beyneu,45.3167,55.2,308.17,21,8,4.9,KZ,1722876448
169,champerico,14.3,-91.9167,305.45,71,82,2.17,GT,1722876449
170,sitka,57.0531,-135.33,291.09,68,20,0.0,US,1722876450
171,cestos city,5.46,-9.5828,299.36,76,56,4.84,LR,1722876451
172,the pas,53.8251,-101.2541,294.16,46,0,2.06,CA,1722876452
173,toamasina,-18.1667,49.3833,296.15,88,20,2.57,MG,1722876453
174,murghob,38.1702,73.9667,290.08,24,0,0.74,TJ,1722876068
175,swaffham,52.6469,0.6887,298.47,68,100,5.66,GB,1722876456
176,tazovsky,67.4667,78.7,282.38,65,96,5.97,RU,1722876457
177,baruun-urt,46.6806,113.2792,291.83,59,33,3.35,MN,1722876458
178,la passe,45.5549,-0.8967,304.28,60,0,5.28,FR,1722876459
179,zhanaozen,43.3,52.8,307.83,20,0,3.81,KZ,1722876460
180,sierra grande,-41.606,-65.3557,285.87,43,100,0.66,AR,1722876461
181,tolanaro,-25.0319,46.9987,295.19,83,0,2.06,MG,1722876462
